time,Direction,Lead_hours,Source_time,Speed
2021-12-24 06:00:00+00:00,ENE,1,1640318400,12.070079999999999
2021-12-24 09:00:00+00:00,ENE,1,1640329200,11.176
2021-12-24 12:00:00+00:00,E,1,1640340000,11.176
2021-12-24 15:00:00+00:00,E,1,1640350800,8.04672
2021-12-24 18:00:00+00:00,ESE,1,1640361600,8.04672
2021-12-24 21:00:00+00:00,E,1,1640372400,8.04672
2021-12-25 00:00:00+00:00,E,1,1640383200,7.15264
2021-12-25 03:00:00+00:00,ESE,1,1640394000,5.81152
2021-12-25 06:00:00+00:00,ESE,1,1640404800,5.81152
2021-12-25 09:00:00+00:00,SE,1,1640415600,5.81152
2021-12-25 12:00:00+00:00,SE,1,1640426400,5.81152
2021-12-25 15:00:00+00:00,SSE,1,1640437200,7.15264
2021-12-25 18:00:00+00:00,SE,1,1640448000,8.04672
2021-12-25 21:00:00+00:00,SE,1,1640458800,8.9408
2021-12-26 00:00:00+00:00,SE,1,1640469600,9.83488
2021-12-26 03:00:00+00:00,SE,1,1640480400,12.070079999999999
2021-12-26 06:00:00+00:00,SE,1,1640491200,11.176
2021-12-26 09:00:00+00:00,SE,1,1640502000,12.96416
2021-12-26 12:00:00+00:00,SE,1,1640512800,13.85824
2021-12-26 15:00:00+00:00,SE,1,1640523600,12.96416
2021-12-26 18:00:00+00:00,SSE,1,1640534400,15.19936
2021-12-26 21:00:00+00:00,SSE,1,1640545200,12.96416
2021-12-27 00:00:00+00:00,SSE,1,1640556000,13.85824
2021-12-27 03:00:00+00:00,SSE,1,1640566800,12.96416
2021-12-27 06:00:00+00:00,SE,1,1640577600,12.96416
2021-12-27 09:00:00+00:00,SE,1,1640588400,12.070079999999999
2021-12-27 12:00:00+00:00,S,1,1640599200,8.04672
2021-12-27 15:00:00+00:00,S,1,1640610000,4.02336
2021-12-27 18:00:00+00:00,S,1,1640620800,4.02336
2021-12-27 21:00:00+00:00,S,1,1640631600,4.91744
2021-12-28 00:00:00+00:00,SW,1,1640642400,3.12928
2021-12-28 03:00:00+00:00,SSW,1,1640653200,3.12928
2021-12-28 06:00:00+00:00,S,1,1640664000,3.12928
2021-12-28 09:00:00+00:00,SSW,1,1640674800,0.89408
2021-12-28 12:00:00+00:00,SSW,1,1640685600,3.12928
2021-12-28 15:00:00+00:00,SW,1,1640696400,4.91744
2021-12-28 18:00:00+00:00,WSW,1,1640707200,4.91744
2021-12-28 21:00:00+00:00,SW,1,1640718000,5.81152
2021-12-29 00:00:00+00:00,SSW,1,1640728800,5.81152
2021-12-29 03:00:00+00:00,S,1,1640739600,4.91744
2021-12-29 06:00:00+00:00,S,1,1640750400,5.81152
2021-12-29 09:00:00+00:00,SE,1,1640761200,9.83488
