time,Direction,Lead_hours,Source_time,Speed
2022-03-11 15:00:00+00:00,SE,3,1646996400,15.19936
2022-03-11 18:00:00+00:00,SE,6,1646996400,16.09344
2022-03-11 21:00:00+00:00,SE,9,1646996400,16.98752
2022-03-12 00:00:00+00:00,SSE,12,1646996400,16.09344
2022-03-12 03:00:00+00:00,SSE,15,1646996400,12.96416
2022-03-12 06:00:00+00:00,SSE,18,1646996400,8.04672
2022-03-12 09:00:00+00:00,SSE,21,1646996400,8.9408
2022-03-12 12:00:00+00:00,SE,24,1646996400,11.176
2022-03-12 15:00:00+00:00,SSE,27,1646996400,12.070079999999999
2022-03-12 18:00:00+00:00,SSW,30,1646996400,8.9408
2022-03-12 21:00:00+00:00,S,33,1646996400,5.81152
2022-03-13 00:00:00+00:00,SSE,36,1646996400,8.04672
2022-03-13 03:00:00+00:00,SE,39,1646996400,9.83488
2022-03-13 06:00:00+00:00,SE,42,1646996400,12.96416
2022-03-13 09:00:00+00:00,SE,45,1646996400,13.85824
2022-03-13 12:00:00+00:00,SE,48,1646996400,15.19936
2022-03-13 15:00:00+00:00,SE,51,1646996400,15.19936
2022-03-13 18:00:00+00:00,SSE,54,1646996400,15.19936
2022-03-13 21:00:00+00:00,SSE,57,1646996400,13.85824
2022-03-14 00:00:00+00:00,SSE,60,1646996400,12.96416
2022-03-14 03:00:00+00:00,S,63,1646996400,11.176
2022-03-14 06:00:00+00:00,S,66,1646996400,9.83488
2022-03-14 09:00:00+00:00,SSW,69,1646996400,9.83488
2022-03-14 12:00:00+00:00,SSW,72,1646996400,8.9408
2022-03-14 15:00:00+00:00,SW,75,1646996400,7.15264
2022-03-14 18:00:00+00:00,SW,78,1646996400,8.04672
2022-03-14 21:00:00+00:00,SW,81,1646996400,9.83488
2022-03-15 00:00:00+00:00,SSW,84,1646996400,9.83488
2022-03-15 03:00:00+00:00,S,87,1646996400,11.176
2022-03-15 06:00:00+00:00,S,90,1646996400,12.070079999999999
2022-03-15 09:00:00+00:00,S,93,1646996400,12.96416
2022-03-15 12:00:00+00:00,S,96,1646996400,12.070079999999999
2022-03-15 15:00:00+00:00,S,99,1646996400,9.83488
2022-03-15 18:00:00+00:00,SSW,102,1646996400,8.9408
2022-03-15 21:00:00+00:00,SSW,105,1646996400,8.04672
